Date,Short Name,Bid,Offer,Last,Close,High,Low,Open,Chg. Today,Vol. Today,Num. Trades,,,,,
2020-09-07,SST,0,0,0,35.46,35.46,35.46,0,0,0,0,,,,,
2020-09-08,SST,0,0,0,35.46,35.46,35.46,0,0,0,0,,,,,
2020-09-09,SST,0,0,0,35.46,35.46,35.46,0,0,0,0,,,,,
2020-09-10,SST,0,0,0,35.46,35.46,35.46,0,0,0,0,,,,,
2020-09-11,SST,0,0,0,35.46,35.46,35.46,0,0,0,0,,,,,
2020-09-14,SST,0,0,0,35.46,35.46,35.46,0,0,0,0,,,,,
2020-09-15,SST,0,0,0,35.46,35.46,35.46,0,0,0,0,,,,,
2020-09-17,SST,0,0,0,35.46,35.46,35.46,0,0,0,0,,,,,
2020-09-18,SST,0,0,0,35.46,35.46,35.46,0,0,0,0,,,,,
2020-09-21,SST,0,0,0,35.46,35.46,35.46,0,0,0,0,,,,,
2020-09-22,SST,0,0,0,35.46,35.46,35.46,0,0,0,0,,,,,
2020-09-23,SST,0,0,0,35.46,35.46,35.46,0,0,0,0,,,,,
2020-09-24,SST,0,0,0,35.46,35.46,35.46,0,0,0,0,,,,,
2020-09-25,SST,0,0,0,35.46,35.46,35.46,0,0,0,0,,,,,
2020-09-28,SST,0,0,0,35.46,35.46,35.46,0,0,0,0,,,,,
2020-09-29,SST,0,0,0,35.46,35.46,35.46,0,0,0,0,,,,,
2020-09-30,SST,0,0,0,35.46,35.46,35.46,0,0,0,0,,,,,
2020-10-01,SST,0,0,0,35.46,35.46,35.46,0,0,0,0,,,,,
2020-10-02,SST,0,0,0,35.46,35.46,35.46,0,0,0,0,,,,,
2020-10-05,SST,0,0,0,35.46,35.46,35.46,0,0,0,0,,,,,
2020-10-06,SST,0,0,0,35.46,35.46,35.46,0,0,0,0,,,,,
2020-10-07,SST,0,0,0,35.46,35.46,35.46,0,0,0,0,,,,,
2020-10-08,SST,0,0,0,35.46,35.46,35.46,0,0,0,0,,,,,
2020-10-09,SST,0,0,0,35.46,35.46,35.46,0,0,0,0,,,,,
2020-10-12,SST,0,0,0,35.46,35.46,35.46,0,0,0,0,,,,,
2020-10-13,SST,0,0,0,35.46,35.46,35.46,0,0,0,0,,,,,
2020-10-14,SST,0,0,0,35.46,35.46,35.46,0,0,0,0,,,,,
2020-10-15,SST,0,0,0,35.46,35.46,35.46,0,0,0,0,,,,,
2020-10-16,SST,0,0,0,35.46,35.46,35.46,0,0,0,0,,,,,
